Ref_Date,UOM,GEO,DURATION,AGE,Vector,Coordinate,Value
1986,Person-trips,Canada,Overnight,"55-64 years (x 1,000)",v130960,1.1.3.8,6657.0
1988,Person-trips,Canada,Overnight,"55-64 years (x 1,000)",v130960,1.1.3.8,6840.0
1990,Person-trips,Canada,Overnight,"55-64 years (x 1,000)",v130960,1.1.3.8,6287.0
1992,Person-trips,Canada,Overnight,"55-64 years (x 1,000)",v130960,1.1.3.8,6686.0
1994,Person-trips,Canada,Overnight,"55-64 years (x 1,000)",v130960,1.1.3.8,7660.0
1996,Person-trips,Canada,Overnight,"55-64 years (x 1,000)",v130960,1.1.3.8,6152.0
1980,Person-trips,Canada,Overnight,"65-69 years (x 1,000)",v130963,1.1.3.9,1573.0
1982,Person-trips,Canada,Overnight,"65-69 years (x 1,000)",v130963,1.1.3.9,1941.0
1984,Person-trips,Canada,Overnight,"65-69 years (x 1,000)",v130963,1.1.3.9,1684.0
1986,Person-trips,Canada,Overnight,"65-69 years (x 1,000)",v130963,1.1.3.9,2135.0
1988,Person-trips,Canada,Overnight,"65-69 years (x 1,000)",v130963,1.1.3.9,2235.0
1990,Person-trips,Canada,Overnight,"65-69 years (x 1,000)",v130963,1.1.3.9,2410.0
1992,Person-trips,Canada,Overnight,"65-69 years (x 1,000)",v130963,1.1.3.9,2841.0
1994,Person-trips,Canada,Overnight,"65-69 years (x 1,000)",v130963,1.1.3.9,2440.0
1996,Person-trips,Canada,Overnight,"65-69 years (x 1,000)",v130963,1.1.3.9,2200.0
1980,Person-trips,Canada,Overnight,"70 years of age and over (x 1,000)",v130966,1.1.3.10,1428.0
1982,Person-trips,Canada,Overnight,"70 years of age and over (x 1,000)",v130966,1.1.3.10,1637.0
1984,Person-trips,Canada,Overnight,"70 years of age and over (x 1,000)",v130966,1.1.3.10,1536.0
1986,Person-trips,Canada,Overnight,"70 years of age and over (x 1,000)",v130966,1.1.3.10,2044.0
1988,Person-trips,Canada,Overnight,"70 years of age and over (x 1,000)",v130966,1.1.3.10,2452.0
1990,Person-trips,Canada,Overnight,"70 years of age and over (x 1,000)",v130966,1.1.3.10,2503.0
1992,Person-trips,Canada,Overnight,"70 years of age and over (x 1,000)",v130966,1.1.3.10,3166.0
